"base_district","floterial_district"
"Belknap 1",""
"Belknap 2",""
"Belknap 3","Belknap 8"
"Belknap 4","Belknap 8"
"Belknap 5",""
"Belknap 6",""
"Belknap 7",""
"Carroll 1",""
"Carroll 2",""
"Carroll 3","Carroll 8"
"Carroll 4","Carroll 8"
"Carroll 5","Carroll 7"
"Carroll 6","Carroll 7"
"Cheshire 1","Cheshire 15"
"Cheshire 10","Cheshire 17"
"Cheshire 11","Cheshire 17"
"Cheshire 12","Cheshire 17"
"Cheshire 13","Cheshire 18"
"Cheshire 14","Cheshire 18"
"Cheshire 2","Cheshire 15"
"Cheshire 3","Cheshire 15"
"Cheshire 4","Cheshire 15"
"Cheshire 5","Cheshire 15"
"Cheshire 6","Cheshire 15"
"Cheshire 7",""
"Cheshire 8","Cheshire 16"
"Cheshire 9","Cheshire 16"
"Coos 2",""
"Coos 3",""
"Coos 4","Coos 7"
"Coos 5","Coos 7"
"Coos 6",""
"Grafton 1",""
"Grafton 10","Grafton 18"
"Grafton 11","Grafton 18"
"Grafton 12",""
"Grafton 13","Grafton 17"
"Grafton 14","Grafton 17"
"Grafton 15","Grafton 17"
"Grafton 16","Grafton 18"
"Grafton 2",""
"Grafton 3",""
"Grafton 4",""
"Grafton 5",""
"Grafton 6",""
"Grafton 7",""
"Grafton 8",""
"Grafton 9","Grafton 18"
"Hillsborough 1",""
"Hillsborough 10",""
"Hillsborough 11",""
"Hillsborough 12",""
"Hillsborough 13","Hillsborough 38"
"Hillsborough 14","Hillsborough 38"
"Hillsborough 15","Hillsborough 39"
"Hillsborough 16","Hillsborough 39"
"Hillsborough 17","Hillsborough 41"
"Hillsborough 18","Hillsborough 40"
"Hillsborough 19","Hillsborough 40"
"Hillsborough 2",""
"Hillsborough 20","Hillsborough 39"
"Hillsborough 21","Hillsborough 40"
"Hillsborough 22","Hillsborough 40"
"Hillsborough 23","Hillsborough 40"
"Hillsborough 24","Hillsborough 41"
"Hillsborough 25","Hillsborough 41"
"Hillsborough 26","Hillsborough 41"
"Hillsborough 27",""
"Hillsborough 28","Hillsborough 44"
"Hillsborough 29","Hillsborough 44"
"Hillsborough 3",""
"Hillsborough 30",""
"Hillsborough 31",""
"Hillsborough 32",""
"Hillsborough 33",""
"Hillsborough 34","Hillsborough 37"
"Hillsborough 35","Hillsborough 45"
"Hillsborough 36","Hillsborough 45"
"Hillsborough 4",""
"Hillsborough 42",""
"Hillsborough 43","Hillsborough 37"
"Hillsborough 5",""
"Hillsborough 6",""
"Hillsborough 7",""
"Hillsborough 8",""
"Hillsborough 9",""
"Merrimack 1","Merrimack 26"
"Merrimack 10",""
"Merrimack 11","Merrimack 27"
"Merrimack 12",""
"Merrimack 13",""
"Merrimack 14","Merrimack 27"
"Merrimack 15","Merrimack 28"
"Merrimack 16","Merrimack 28"
"Merrimack 17","Merrimack 28"
"Merrimack 18","Merrimack 29"
"Merrimack 19","Merrimack 30"
"Merrimack 2","Merrimack 25"
"Merrimack 20","Merrimack 30"
"Merrimack 21","Merrimack 30"
"Merrimack 22",""
"Merrimack 23","Merrimack 29"
"Merrimack 24","Merrimack 29"
"Merrimack 3","Merrimack 25"
"Merrimack 4","Merrimack 26"
"Merrimack 5","Merrimack 26"
"Merrimack 6",""
"Merrimack 7",""
"Merrimack 8",""
"Merrimack 9",""
"Rockingham 1",""
"Rockingham 10","Rockingham 33"
"Rockingham 11","Rockingham 33"
"Rockingham 12","Rockingham 33"
"Rockingham 13",""
"Rockingham 14","Rockingham 34"
"Rockingham 15","Rockingham 34"
"Rockingham 16","Rockingham 35"
"Rockingham 17","Rockingham 35"
"Rockingham 18",""
"Rockingham 19","Rockingham 36"
"Rockingham 2","Rockingham 31"
"Rockingham 20","Rockingham 36"
"Rockingham 21","Rockingham 37"
"Rockingham 22","Rockingham 37"
"Rockingham 23","Rockingham 38"
"Rockingham 24","Rockingham 39"
"Rockingham 25",""
"Rockingham 26","Rockingham 39"
"Rockingham 27","Rockingham 39"
"Rockingham 28","Rockingham 39"
"Rockingham 29","Rockingham 40"
"Rockingham 3","Rockingham 31"
"Rockingham 30","Rockingham 40"
"Rockingham 4",""
"Rockingham 5",""
"Rockingham 6","Rockingham 32"
"Rockingham 7","Rockingham 32"
"Rockingham 8","Rockingham 32"
"Rockingham 9",""
"Strafford 1",""
"Strafford 10","Strafford 20"
"Strafford 11","Strafford 20"
"Strafford 12",""
"Strafford 13","Strafford 21"
"Strafford 14","Strafford 21"
"Strafford 15","Strafford 21"
"Strafford 16","Strafford 21"
"Strafford 17","Strafford 21"
"Strafford 2",""
"Strafford 3","Strafford 18"
"Strafford 4","Strafford 18"
"Strafford 5","Strafford 19"
"Strafford 6","Strafford 19"
"Strafford 7","Strafford 19"
"Strafford 8","Strafford 19"
"Strafford 9","Strafford 19"
"Sullivan 1",""
"Sullivan 2","Sullivan 7"
"Sullivan 3","Sullivan 7"
"Sullivan 4","Sullivan 8"
"Sullivan 5","Sullivan 8"
"Sullivan 6","Sullivan 8"
