openstates_person_id,name,district,Party,HB238 - Labor Rights,HB75 Legalizing Marijuana,HB521 Voter Protection,HB115-Public School Funding (Vouchers),HB675 - School Funding Cap,HB583 - Reducing Child Hunger,HB148 - LGBTQ Rights,HB433 -Child Marriage,HCR4 - Environment (Wind Power),HCR- Reproductive Freedom,HB1 - State Funding Bill,HB2 - Budget Trailer (All the Policy Stuff),HB22 - Protecting Trans People,HB23 - Vaccinations,HB24 - Gun Control,HB25 - The Dems Budget Proposal,HB26 - School Budget Cap Repeal,HB27 - Family Planning Services,HB28 - Child Advocacy Services (Intervening in Child Neglect/Abuse),HB29 - Medicaid,HB210 - Supporting the Arts,HB211 - Public School Funding,HB212 - Higher Ed Funding,HB213 - Dealing with the Opioid Crisis,HB214 Public School Funding,HB215 - Human Rights Commission
ocd-person/e60aed5e-cbb4-4b27-ab1b-2ce1dd787dac,Aboul Khan,ROC 30,Republican,Pro-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Pro-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/e6d39a32-9602-4a87-905b-a86eeefe9ae1,Adam Presa,HIL 12,Republican,Anti-Labor Vote,Did Not Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/540cbe60-cc65-4ff6-8c78-5d54488e5ed8,Aidan Ankarberg,STR 7,Independent,Did Not Vote,Did Not Vote,Pro-Voter Vote,Anti-Public Ed Vote,Pro-Public Ed Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Did Not Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Pro- School Budget Funding/Local Control,Anti-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
ocd-person/3ab49eaa-77a6-4e6e-85a5-24812e78ae7a,Alexis Simpson,ROC 33,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/ef4b9cee-5a72-452c-8720-a59d5d5ca9ef,Alice Wade,STR 15,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/36eee284-6fc9-4b03-9b5c-012b5fdd6995,Alicia Gregg,HIL 7,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/f809a410-5a03-4ebc-a0ab-32507705c479,Alissandra Murray,HIL 20,Democrat,Pro-Labor Vote,Pro-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Did Not Vote,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/69b94b6a-d5d5-430b-a4b9-c62c8414cb75,Allan Howland,STR 20,Democrat,Pro-Labor Vote,Did Not Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/0bc83772-75ee-453c-868c-8d2a034788b1,Allison Knab,ROC 12,Democrat,Pro-Labor Vote,Anti-Weed Vote,Pro-Voter Vote,Pro-Public Ed Vote,Pro-Public Ed Vote,Pro-Reducig Child Hunger Vote,Pro-LGBTQ Vote,Against Child Marriage Vote,Pro-Energy Vote,Pro-Abortion Vote,Pro-State Funding,Pro-Granite Stater,Pro-LGBTQ Vote,Pro-Child Vax Mandates,Pro-Gun Control/Abuse Protections,"Pro- ""Better Budget""",Pro- School Budget Funding/Local Control,Pro-Family Planning,Pro-Office of Child Advocate,Pro-Access to Free&Reduced Lunch,Pro-Council on Arts,Pro-Public School Funding,Pro-USNH Funding,Pro-Opiod Abatement Funds,Pro-Removal of Fee Increases,Pro-Human Rights Commission
ocd-person/e3a1815a-a84c-4bd1-9e20-b73b07d2576f,Alvin See,MER 26,Republican,Anti-Labor Vote,Anti-Weed Vote,Anti-Voter Vote,Anti-Public Ed Vote,Anti-Public Ed Vote,Anti-Reducig Child Hunger Vote,Anti-LGBTQ Vote,For Child Marriage Vote,Anti-Energy Vote,Anti-Abortion Vote,Anti-State Funding,Anti-Granite Stater,Anti-LGBTQ Vote,Anti-Child Vax Mandates,Anti-Gun Control/Abuse Protections,"Anti- ""Better Budget""",Anti- School Bidget Funding/Local Control,Anti-Family Planning,Anti-Office of Child Advocate,Anti-Access to Free&Reduced Lunch,Anti-Council on Arts,Anti-Public School Funding,Anti-USNH Funding,Anti-Opiod Abatement Funds,Anti-Removal of Fee Increases,Anti-Human Rights Commission
